iPhone 6s,13 490  ₽,р-н Советский,https://www.avito.ru/chelyabinsk/telefony/iphone_6s_1345064479
"iPhone 7,6s,6,SE,5s,5,4s RFB",3 690  ₽,р-н Центральный,https://www.avito.ru/chelyabinsk/telefony/iphone_76s6se5s54s_rfb_1315413971
"iPhone 6,5s,4s,SE,6s,7 16/32/64/128/256",4 490  ₽,р-н Центральный,https://www.avito.ru/chelyabinsk/telefony/iphone_65s4sse6s7_163264128256_1572799709
iPhone 7,19 490  ₽,р-н Советский,https://www.avito.ru/chelyabinsk/telefony/iphone_7_994040619
iPhone,6 000  ₽,р-н Центральный,https://www.avito.ru/chelyabinsk/telefony/iphone_1106155249
iPhone,1 000  ₽,р-н Металлургический,https://www.avito.ru/chelyabinsk/telefony/iphone_1511158078
iPhone,15 500  ₽,р-н Тракторозаводский,https://www.avito.ru/chelyabinsk/telefony/iphone_1391135347
iPhone,9 800  ₽,р-н Металлургический,https://www.avito.ru/chelyabinsk/telefony/iphone_1438224627
iPhone,4 000  ₽,р-н Советский,https://www.avito.ru/chelyabinsk/telefony/iphone_1063096654
iPhone,10 000  ₽,р-н Тракторозаводский,https://www.avito.ru/chelyabinsk/telefony/iphone_973142016
Айфон,5 000  ₽,,https://www.avito.ru/chelyabinsk/telefony/ayfon_1348571831
iPhone,3 000  ₽,р-н Советский,https://www.avito.ru/chelyabinsk/telefony/iphone_1691871887
iPhone,4 000  ₽,р-н Курчатовский,https://www.avito.ru/chelyabinsk/telefony/iphone_1651257535
iPhone,24 000  ₽,р-н Советский,https://www.avito.ru/chelyabinsk/telefony/iphone_1314766308
iPhone 7 32gb red,19 500  ₽,р-н Советский,https://www.avito.ru/chelyabinsk/telefony/iphone_7_32gb_red_1464891971
iPhone,16 000  ₽,р-н Курчатовский,https://www.avito.ru/chelyabinsk/telefony/iphone_1539253260
iPhone,14 000  ₽,р-н Ленинский,https://www.avito.ru/chelyabinsk/telefony/iphone_931990123
iPhone,9 000  ₽,р-н Курчатовский,https://www.avito.ru/chelyabinsk/telefony/iphone_1441741027
iPhone,8 000  ₽,р-н Металлургический,https://www.avito.ru/chelyabinsk/telefony/iphone_1545149674
iPhone,29 990  ₽,р-н Советский,https://www.avito.ru/chelyabinsk/telefony/iphone_1653990152
iPhone,17 500  ₽,р-н Курчатовский,https://www.avito.ru/chelyabinsk/telefony/iphone_1524465265
iPhone,18 000  ₽,р-н Тракторозаводский,https://www.avito.ru/chelyabinsk/telefony/iphone_1401237810
iPhone,7 000  ₽,р-н Центральный,https://www.avito.ru/chelyabinsk/telefony/iphone_1214094349
iPhone,6 800  ₽,р-н Калининский,https://www.avito.ru/chelyabinsk/telefony/iphone_1324751562
iPhone,9 000  ₽,р-н Металлургический,https://www.avito.ru/chelyabinsk/telefony/iphone_1236418071
iPhone XR,63 990  ₽,,https://www.avito.ru/chelyabinsk/telefony/iphone_xr_1289430085
iPhone XR,68 990  ₽,р-н Советский,https://www.avito.ru/chelyabinsk/telefony/iphone_xr_1383436624
iPhone 8,35 500  ₽,р-н Центральный,https://www.avito.ru/chelyabinsk/telefony/iphone_8_1330769229
iPhone XS max,81 190  ₽,р-н Советский,https://www.avito.ru/chelyabinsk/telefony/iphone_xs_max_1374484789
iPhone XR,59 900  ₽,,https://www.avito.ru/chelyabinsk/telefony/iphone_xr_1719275169
iPhone XS,96 900  ₽,,https://www.avito.ru/chelyabinsk/telefony/iphone_xs_980661358
iPhone 7 plus,49 990  ₽,,https://www.avito.ru/chelyabinsk/telefony/iphone_7_plus_948497186
iPhone 7,43 490  ₽,,https://www.avito.ru/chelyabinsk/telefony/iphone_7_1710266378
iPhone 8,53 280  ₽,,https://www.avito.ru/chelyabinsk/telefony/iphone_8_1064764461
iPhone 7 plus,49 990  ₽,,https://www.avito.ru/chelyabinsk/telefony/iphone_7_plus_1392859061
iPhone 7,46 490  ₽,,https://www.avito.ru/chelyabinsk/telefony/iphone_7_1557854694
iPhone 8 plus,44 990  ₽,,https://www.avito.ru/chelyabinsk/telefony/iphone_8_plus_986954685
iPhone 7 32 GB,21 000  ₽,р-н Центральный,https://www.avito.ru/chelyabinsk/telefony/iphone_7_32_gb_1622444949
iPhone 8+ (Новый),60 590  ₽,р-н Калининский,https://www.avito.ru/chelyabinsk/telefony/iphone_8_novyy_1277165128
iPhone 7,14 000  ₽,,https://www.avito.ru/chelyabinsk/telefony/iphone_7_1257034643
iPhone,3 000  ₽,р-н Советский,https://www.avito.ru/chelyabinsk/telefony/iphone_1571552100
"iPhone 5s/6/6s/7/8 ReNew (магазин, гарантия)",7 990  ₽,р-н Советский,https://www.avito.ru/chelyabinsk/telefony/iphone_5s66s78_renew_magazin_garantiya_1151125761
"iPhone 7, 32 gb, чёрный в идеальном состоянии",18 000  ₽,р-н Металлургический,https://www.avito.ru/chelyabinsk/telefony/iphone_7_32_gb_chernyy_v_idealnom_sostoyanii_1435844783
iPhone 7 plus,27 990  ₽,,https://www.avito.ru/chelyabinsk/telefony/iphone_7_plus_1109979948
iPhone 7,15 990  ₽,,https://www.avito.ru/chelyabinsk/telefony/iphone_7_1716387669
iPhone 8 (Новый),52 990  ₽,р-н Калининский,https://www.avito.ru/chelyabinsk/telefony/iphone_8_novyy_1080415877
iPhone 7,19 990  ₽,,https://www.avito.ru/chelyabinsk/telefony/iphone_7_1567504027
iPhone 7 plus,27 990  ₽,,https://www.avito.ru/chelyabinsk/telefony/iphone_7_plus_1350677163
iPhone 8 (Новый),52 990  ₽,р-н Калининский,https://www.avito.ru/chelyabinsk/telefony/iphone_8_novyy_1723617436
iPhone 8 (Новый),52 990  ₽,р-н Калининский,https://www.avito.ru/chelyabinsk/telefony/iphone_8_novyy_1607221537
iPhone 8 (Новый),40 590  ₽,р-н Калининский,https://www.avito.ru/chelyabinsk/telefony/iphone_8_novyy_1386296932
iPhone 8 (Новый),40 590  ₽,р-н Калининский,https://www.avito.ru/chelyabinsk/telefony/iphone_8_novyy_1590499057
iPhone 8 (Новый),40 590  ₽,р-н Калининский,https://www.avito.ru/chelyabinsk/telefony/iphone_8_novyy_1671627164
